data_owner;location_code;location_name;xy;dups;modelNames;station_name;descriptive_name;What to do?
IMR;eu_M160;M160;6.73_57.51;FALSE;NA;M160;M160;
RBINS;eu_R0129_GKSS;R0129_GKSS;6.75_54.6708;FALSE;NA;R0129_GKSS;R0129_GKSS;
RBINS;eu_C5051000;C5051000;6.7783_54.1233;FALSE;NA;C5051000;C5051000;
IMR;eu_M726;M726;6.79_61.85;FALSE;NA;M726;M726;
Rijkswaterstaat;RANSGZD;Ranselgat zuid;6.8103_53.4939;FALSE;NA;RANSGZD;Ranselgat zuid;
Rijkswaterstaat;EEMSHVSMPL;Eemshaven stroommeetpaal;6.8217_53.4744;FALSE;NA;EEMSHVSMPL;Eemshaven stroommeetpaal;
RBINS;eu_R0138_GKSS;R0138_GKSS;6.8238_53.772;FALSE;NA;R0138_GKSS;R0138_GKSS;
IMR;eu_M171;M171;6.83_57.65;FALSE;NA;M171;M171;
IMR;eu_M174;M174;6.83_57.67;FALSE;NA;M174;M174;
Rijkswaterstaat;DOEKGT;Doekegat;6.8477_53.4664;TRUE;NA;DOEKGT;Doekegat;
Rijkswaterstaat;donar_DOEKGT;DOEKGT;6.8477_53.4664;FALSE;NA;DOEKGT;Doekegat;
RBINS;eu_E1333_GKSS;E1333_GKSS;6.862_53.757;FALSE;NA;E1333_GKSS;E1333_GKSS;
NLWKN;Bork_W_2;Osterems;6.8745_53.614;FALSE;NA;Bork_W_2;Osterems;
Rijkswaterstaat;EEMSCTLE;Eemscentrale;6.8838_53.4433;TRUE;NA;EEMSCTLE;Eemscentrale;
Rijkswaterstaat;donar_EEMSCTLE;EEMSCTLE;6.8838_53.4433;FALSE;NA;EEMSCTLE;Eemscentrale;
Rijkswaterstaat;ROBBPT;Robbenplaat;6.8932_53.4355;FALSE;NA;ROBBPT;Robbenplaat;
RBINS;eu_C6111000;C6111000;6.8941_53.8618;FALSE;NA;C6111000;C6111000;
Rijkswaterstaat;BOCHTVWTND;Bocht van Watum noord;6.8943_53.4046;TRUE;BOCHTVWTND;BOCHTVWTND;Bocht van Watum noord;
Rijkswaterstaat;donar_BOCHTVWTND;BOCHTVWTND;6.8943_53.4046;FALSE;BOCHTVWTND;BOCHTVWTND;Bocht van Watum noord;
RBINS;eu_E1313_GKSS;E1313_GKSS;6.902_54.648;FALSE;NA;E1313_GKSS;E1313_GKSS;
Rijkswaterstaat;BOCHTVWTMDWT;Bocht van Watum midden west;6.904_53.3736;TRUE;NA;BOCHTVWTMDWT;Bocht van Watum midden west;
Rijkswaterstaat;donar_BOCHTVWTMDWT;BOCHTVWTMDWT;6.904_53.3736;FALSE;NA;BOCHTVWTMDWT;Bocht van Watum midden west;
RBINS;eu_E1328_GKSS;E1328_GKSS;6.9058_55.499;FALSE;NA;E1328_GKSS;E1328_GKSS;
Rijkswaterstaat;BOCHTVWTMDOT;Bocht van Watum midden oost;6.9113_53.3493;TRUE;NA;BOCHTVWTMDOT;Bocht van Watum midden oost;
Rijkswaterstaat;donar_BOCHTVWTMDOT;BOCHTVWTMDOT;6.9113_53.3493;FALSE;NA;BOCHTVWTMDOT;Bocht van Watum midden oost;
Rijkswaterstaat;donar_OOSTFSGJND;OOSTFSGJND;6.9167_53.4341;TRUE;NA;OOSTFSGJND;Oostfriese Gaatje noord;
Rijkswaterstaat;OOSTFSGJND;Oostfriese Gaatje noord;6.9167_53.4341;FALSE;NA;OOSTFSGJND;Oostfriese Gaatje noord;
NLWKN;Bork_W_1;Westerems, Emsh̦rn Rinne;6.9176_53.479;FALSE;Bork_W_1;Bork_W_1;Westerems, Emshorn Rinne;
RBINS;eu_C6112000;C6112000;6.9242_53.7835;FALSE;NA;C6112000;C6112000;
Rijkswaterstaat;DELFZBSD;Zeestrand Eemshotel, Delfzijl;6.9314_53.3348;FALSE;NA;DELFZBSD;Zeestrand Eemshotel, Delfzijl;
Rijkswaterstaat;DELFZL;Delfzijl;6.9331_53.3264;FALSE;NA;DELFZL;Delfzijl;
Rijkswaterstaat;BOCHTVWTM;Bocht van Watum;6.9439_53.3349;TRUE;BOCHTVWTM;BOCHTVWTM;Bocht van Watum;
Rijkswaterstaat;donar_BOCHTVWTM;BOCHTVWTM;6.9439_53.3349;FALSE;BOCHTVWTM;BOCHTVWTM;Bocht van Watum;
Rijkswaterstaat;donar_PAAP;PAAP;6.9445_53.3489;TRUE;NA;PAAP;PAAP;
Rijkswaterstaat;PAAP;Paap;6.9445_53.3489;FALSE;NA;PAAP;PAAP;
RBINS;eu_C6113000;C6113000;6.9457_53.7164;FALSE;NA;C6113000;C6113000;
IMR;eu_M194;M194;6.95_57.83;FALSE;NA;M194;M194;
RBINS;eu_E1325_GKSS;E1325_GKSS;6.951_56.504;FALSE;NA;E1325_GKSS;E1325_GKSS;
Rijkswaterstaat;BOCHTVWTZD;Bocht van Watum zuid;6.9583_53.3304;TRUE;BOCHTVWTZD;BOCHTVWTZD;Bocht van Watum zuid;
Rijkswaterstaat;donar_BOCHTVWTZD;BOCHTVWTZD;6.9583_53.3304;FALSE;BOCHTVWTZD;BOCHTVWTZD;Bocht van Watum zuid;
Rijkswaterstaat;donar_OOSTFSGJE;OOSTFSGJE;6.9583_53.3752;TRUE;OOSTFSGJE;OOSTFSGJE;Oostfriese Gaatje;
Rijkswaterstaat;OOSTFSGJE;Oostfriese Gaatje;6.9583_53.3752;FALSE;OOSTFSGJE;OOSTFSGJE;Oostfriese Gaatje;
Rijkswaterstaat;DELFZBTHVN;Delfzijl buitenhaven;6.9641_53.321;TRUE;NA;DELFZBTHVN;Delfzijl buitenhaven;
Rijkswaterstaat;donar_DELFZBTHVN;DELFZBTHVN;6.9641_53.321;FALSE;NA;DELFZBTHVN;Delfzijl buitenhaven;
RBINS;eu_R0144_GKSS;R0144_GKSS;6.9675_53.9715;FALSE;NA;R0144_GKSS;R0144_GKSS;
IMR;eu_M51;M51;6.97_56.99;FALSE;NA;M51;M51;
IMR;eu_M590;M590;6.97_60.49;FALSE;NA;M590;M590;
Rijkswaterstaat;donar_OOSTFSGJMDN;OOSTFSGJMDN;6.99_53.3909;FALSE;NA;OOSTFSGJMDN;OOSTFSGJMDN;
IMR;eu_M52;M52;6.99_56.99;FALSE;NA;M52;M52;
IMR;eu_M100;M100;6.99_57.01;FALSE;NA;M100;M100;
IMR;eu_M206;M206;6.99_57.91;FALSE;NA;M206;M206;
RBINS;eu_C5052000;C5052000;6.9917_54.1367;FALSE;NA;C5052000;C5052000;
Rijkswaterstaat;WESTHD;Westerhoofd;6.9949_53.3202;FALSE;NA;WESTHD;Westerhoofd;
Rijkswaterstaat;donar_ZEEHVKNMDG;ZEEHVKNMDG;7.0062_53.3186;TRUE;ZEEHVKNMDG;ZEEHVKNMDG;Zeehavenkanaal monding;
Rijkswaterstaat;ZEEHVKNMDG;Zeehavenkanaal monding;7.0062_53.3186;FALSE;ZEEHVKNMDG;ZEEHVKNMDG;Zeehavenkanaal monding;
